abs_path,true_label,pred_label,plane,prob_0,prob_1,prob_2,prob_3,max_prob,correct,has_mask,dice,iou,gt_area,pred_area,fn_mask
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00561_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020052103,0.024093157,0.022611335,0.93324345,0.93324345,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00562_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.019740975,0.023615317,0.022044165,0.9345996,0.9345996,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00563_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020175407,0.022496307,0.02155014,0.93577814,0.93577814,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00564_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020684008,0.024288557,0.02335808,0.9316694,0.9316694,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00565_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.02099918,0.022222918,0.021931862,0.93484604,0.93484604,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00566_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020559637,0.022197727,0.021630643,0.93561196,0.93561196,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00567_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020790204,0.022833573,0.022206832,0.93416935,0.93416935,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00568_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.020879714,0.022609448,0.0224335,0.9340774,0.9340774,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00569_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021361329,0.022277437,0.022419296,0.9339419,0.9339419,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00570_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021209897,0.02209792,0.02209792,0.93459415,0.93459415,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00571_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021041952,0.02177359,0.021805508,0.9353789,0.9353789,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00572_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021034153,0.022303443,0.022086699,0.93457574,0.93457574,True,True,1.0,1.0,0.0,0.0,False
d:\Research\Multi-View Fusion Network\datasets\brisc2025\classification_task\test\no_tumor\brisc2025_test_00573_no_ax_t1.jpg,no_tumor,no_tumor,axial,0.021073438,0.021987934,0.021987934,0.9349507,0.9349507,True,True,1.0,1.0,0.0,0.0,False
